epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.586,2.35257,2.2518,3.18724,0.85424,0.82833,0.89397,0.52904,2.76383,1.59924,5.11398,0.00066539,0.00066539,0.00066539
2,279.441,2.33554,1.86392,3.12515,0.86629,0.90036,0.95093,0.6826,1.67583,1.09501,3.06028,0.00131887,0.00131887,0.00131887
3,415.977,2.15874,1.66707,2.96543,0.74817,0.76681,0.83539,0.50831,2.45606,1.63831,3.80884,0.00195915,0.00195915,0.00195915
4,551.931,2.05441,1.49494,2.90721,0.8373,0.84638,0.91781,0.61403,2.04177,1.32737,3.3253,0.0019406,0.0019406,0.0019406
5,687.464,1.8858,1.34688,2.75402,0.83626,0.83996,0.9009,0.57363,2.4423,1.35056,3.79417,0.0019208,0.0019208,0.0019208
6,822.499,1.88792,1.32702,2.7583,0.9174,0.89196,0.96762,0.73372,1.38564,0.76462,2.63947,0.001901,0.001901,0.001901
7,957.516,1.81917,1.2713,2.70921,0.93748,0.92557,0.97467,0.78149,1.34033,0.69699,2.62419,0.0018812,0.0018812,0.0018812
8,1094.34,1.7076,1.1121,2.63141,0.88217,0.93476,0.96333,0.80128,1.15881,0.74831,2.46383,0.0018614,0.0018614,0.0018614
9,1228.61,1.68903,1.13851,2.616,0.93691,0.94493,0.98254,0.81168,1.15441,0.62021,2.40653,0.0018416,0.0018416,0.0018416
10,1364.03,1.6123,1.04734,2.57712,0.95874,0.93517,0.9872,0.83524,1.05082,0.57658,2.31127,0.0018218,0.0018218,0.0018218
11,1497.17,1.59437,1.03081,2.54827,0.94617,0.94949,0.98497,0.84312,1.0706,0.55439,2.26237,0.001802,0.001802,0.001802
12,1629.84,1.55659,0.9895,2.54317,0.90237,0.89871,0.96304,0.71318,1.8098,0.97237,3.02988,0.0017822,0.0017822,0.0017822
13,1766,1.55543,0.99018,2.52082,0.9446,0.94358,0.98418,0.84475,1.10214,0.54835,2.33165,0.0017624,0.0017624,0.0017624
14,1902.49,1.5465,0.99323,2.52864,0.97026,0.94007,0.98914,0.83432,1.10334,0.58948,2.39661,0.0017426,0.0017426,0.0017426
15,2039.7,1.4706,0.92815,2.46424,0.96038,0.96399,0.9908,0.86165,0.97425,0.47769,2.19754,0.0017228,0.0017228,0.0017228
16,2176.36,1.45686,0.88431,2.45382,0.95955,0.95438,0.98927,0.87291,0.98409,0.46706,2.21863,0.001703,0.001703,0.001703
17,2315.33,1.43109,0.86083,2.4454,0.97655,0.94718,0.99041,0.86035,1.00564,0.48695,2.22537,0.0016832,0.0016832,0.0016832
18,2451.92,1.41325,0.87208,2.43487,0.94999,0.94958,0.98817,0.86565,1.0153,0.48182,2.26553,0.0016634,0.0016634,0.0016634
19,2587.64,1.3892,0.83669,2.41828,0.96591,0.94958,0.98993,0.87132,0.95196,0.44281,2.19493,0.0016436,0.0016436,0.0016436
20,2729.35,1.38701,0.83321,2.43189,0.94676,0.97839,0.98972,0.87691,0.92674,0.44105,2.13232,0.0016238,0.0016238,0.0016238
21,2871.7,1.36291,0.82459,2.39848,0.96611,0.95318,0.99111,0.86216,1.00172,0.46713,2.24432,0.001604,0.001604,0.001604
22,3012.52,1.34232,0.81539,2.38375,0.96288,0.96535,0.99022,0.88102,0.90595,0.44615,2.12282,0.0015842,0.0015842,0.0015842
23,3149.76,1.33254,0.79033,2.38105,0.95744,0.94511,0.98815,0.87015,0.91491,0.44662,2.13399,0.0015644,0.0015644,0.0015644
24,3286.27,1.3132,0.79799,2.36566,0.97694,0.96619,0.99238,0.89311,0.86403,0.39969,2.09321,0.0015446,0.0015446,0.0015446
25,3421.25,1.32387,0.80905,2.36394,0.96738,0.96119,0.99034,0.88713,0.92703,0.44317,2.09095,0.0015248,0.0015248,0.0015248
26,3556.7,1.30203,0.77169,2.37555,0.9743,0.95559,0.99135,0.88707,0.91044,0.42163,2.11271,0.001505,0.001505,0.001505
27,3691.78,1.33165,0.80144,2.36708,0.95783,0.96279,0.99036,0.88997,0.86842,0.4509,2.0603,0.0014852,0.0014852,0.0014852
28,3827.79,1.28932,0.74561,2.34905,0.96546,0.97301,0.99162,0.90621,0.77958,0.41743,1.99625,0.0014654,0.0014654,0.0014654
29,3962.81,1.2448,0.73284,2.31765,0.97093,0.96236,0.99018,0.90011,0.81302,0.41462,2.03817,0.0014456,0.0014456,0.0014456
30,4095.12,1.23572,0.74095,2.32335,0.97802,0.9617,0.9925,0.90408,0.82142,0.38367,2.024,0.0014258,0.0014258,0.0014258
31,4229.79,1.26362,0.73846,2.32871,0.96261,0.95318,0.99092,0.90361,0.81102,0.37747,2.04192,0.001406,0.001406,0.001406
32,4363.09,1.24862,0.72515,2.31945,0.97837,0.97724,0.99377,0.90584,0.81672,0.34469,2.02496,0.0013862,0.0013862,0.0013862
33,4496.82,1.25193,0.72316,2.31253,0.98297,0.96982,0.99311,0.91027,0.79483,0.37338,1.99537,0.0013664,0.0013664,0.0013664
34,4629.32,1.20681,0.6965,2.30761,0.96585,0.98475,0.99363,0.91116,0.76496,0.37578,1.97087,0.0013466,0.0013466,0.0013466
35,4761.93,1.19548,0.6975,2.2936,0.97046,0.96158,0.99175,0.90916,0.75654,0.37861,1.97671,0.0013268,0.0013268,0.0013268
36,4893.3,1.18552,0.694,2.29925,0.97543,0.97359,0.99317,0.91979,0.7436,0.36235,1.9381,0.001307,0.001307,0.001307
37,5024.85,1.20386,0.69044,2.28801,0.97321,0.95931,0.99271,0.90657,0.759,0.37019,1.95235,0.0012872,0.0012872,0.0012872
38,5595.09,1.17324,0.69593,2.28179,0.96727,0.97119,0.99284,0.91676,0.71532,0.37047,1.91298,0.0012674,0.0012674,0.0012674
39,5727.88,1.15159,0.65961,2.25407,0.97421,0.95238,0.99133,0.91831,0.75054,0.37251,1.94196,0.0012476,0.0012476,0.0012476
40,5863.18,1.1514,0.66107,2.25756,0.98313,0.97959,0.99387,0.91611,0.73853,0.3607,1.96807,0.0012278,0.0012278,0.0012278
41,5997.47,1.15402,0.65841,2.26594,0.98575,0.97359,0.9936,0.92768,0.68831,0.33134,1.89866,0.001208,0.001208,0.001208
42,6129.79,1.16739,0.66232,2.2739,0.96788,0.97664,0.99314,0.92379,0.69756,0.36084,1.89489,0.0011882,0.0011882,0.0011882
43,6262.23,1.14941,0.65947,2.25089,0.9702,0.97959,0.9923,0.91576,0.75826,0.36695,1.95911,0.0011684,0.0011684,0.0011684
44,6398.37,1.1306,0.64165,2.24841,0.9674,0.96184,0.99169,0.91428,0.72405,0.38295,1.92041,0.0011486,0.0011486,0.0011486
45,6532.3,1.0985,0.62234,2.23369,0.98323,0.96999,0.99269,0.91899,0.70926,0.35381,1.90625,0.0011288,0.0011288,0.0011288
46,6667.28,1.13868,0.64709,2.26587,0.98082,0.98199,0.99425,0.91799,0.72963,0.35673,1.92478,0.001109,0.001109,0.001109
47,6801.88,1.11505,0.65667,2.23946,0.97957,0.9786,0.99344,0.92611,0.68414,0.32418,1.8804,0.0010892,0.0010892,0.0010892
48,6935.96,1.1382,0.62677,2.24469,0.98084,0.98321,0.99436,0.93246,0.66776,0.3071,1.87344,0.0010694,0.0010694,0.0010694
49,7073.7,1.09769,0.62969,2.21573,0.98073,0.97839,0.99392,0.92496,0.68803,0.33865,1.89678,0.0010496,0.0010496,0.0010496
50,7209.32,1.10394,0.61358,2.22424,0.96918,0.988,0.99392,0.93035,0.68072,0.33043,1.87847,0.0010298,0.0010298,0.0010298
51,7342.27,1.07558,0.6081,2.19816,0.98411,0.96678,0.99353,0.92838,0.66446,0.31174,1.88201,0.00101,0.00101,0.00101
52,7478.16,1.09146,0.61942,2.2199,0.98444,0.98745,0.99447,0.93117,0.67926,0.31705,1.8805,0.0009902,0.0009902,0.0009902
53,7614.31,1.09241,0.61979,2.20445,0.97623,0.98594,0.99413,0.92843,0.66212,0.32208,1.8583,0.0009704,0.0009704,0.0009704
54,7750.5,1.07699,0.58201,2.20739,0.98331,0.99025,0.99447,0.93079,0.67721,0.31767,1.8775,0.0009506,0.0009506,0.0009506
55,7884.41,1.10174,0.61265,2.22722,0.97971,0.98532,0.99421,0.92906,0.72007,0.34341,1.91234,0.0009308,0.0009308,0.0009308
56,8023.23,1.06134,0.5875,2.20297,0.97323,0.988,0.99403,0.93199,0.64703,0.30489,1.8589,0.000911,0.000911,0.000911
57,8159.16,1.06335,0.609,2.21355,0.98672,0.98117,0.99389,0.93688,0.65631,0.31858,1.86032,0.0008912,0.0008912,0.0008912
58,8293.17,1.02312,0.58009,2.18711,0.98661,0.97318,0.99341,0.93692,0.65285,0.32135,1.8676,0.0008714,0.0008714,0.0008714
59,8427.6,1.04064,0.60224,2.1847,0.97745,0.98889,0.9941,0.94105,0.63466,0.31132,1.84836,0.0008516,0.0008516,0.0008516
60,8563.36,1.0208,0.56211,2.18477,0.98526,0.97599,0.99419,0.93786,0.61188,0.28289,1.81207,0.0008318,0.0008318,0.0008318
61,8697.18,1.0166,0.57338,2.1845,0.9793,0.98559,0.99446,0.93864,0.62913,0.30991,1.8267,0.000812,0.000812,0.000812
62,8831.57,1.00218,0.57544,2.15983,0.98799,0.98734,0.99468,0.94635,0.60244,0.27968,1.81006,0.0007922,0.0007922,0.0007922
63,8965.62,0.98797,0.55707,2.15974,0.98074,0.97788,0.99283,0.94181,0.61549,0.2946,1.81574,0.0007724,0.0007724,0.0007724
64,9102.1,0.98848,0.55089,2.14529,0.97756,0.98199,0.99374,0.94143,0.59981,0.28686,1.79792,0.0007526,0.0007526,0.0007526
65,9236.21,1.00736,0.54922,2.16727,0.93021,0.97601,0.98857,0.93839,0.59769,0.36349,1.80307,0.0007328,0.0007328,0.0007328
66,9370.72,0.99384,0.54065,2.16235,0.9657,0.98025,0.99314,0.93652,0.63553,0.34708,1.81864,0.000713,0.000713,0.000713
