epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.237,2.1565,2.1543,3.05571,0.84861,0.572,0.62855,0.40425,2.76915,5.09013,4.18026,0.000399234,0.000399234,0.000399234
2,295.93,2.36603,1.76532,3.12454,0.81186,0.81851,0.88464,0.58073,2.21139,1.30056,3.73711,0.000791321,0.000791321,0.000791321
3,465.288,2.19439,1.65572,2.96523,0.92351,0.91837,0.95808,0.66271,1.88287,0.92277,3.16321,0.00117549,0.00117549,0.00117549
4,633.418,2.04904,1.44848,2.86141,0.84416,0.88836,0.93045,0.66611,1.62525,1.08547,2.91973,0.00155174,0.00155174,0.00155174
5,787.153,2.01352,1.45241,2.84381,0.89122,0.89796,0.94783,0.66613,1.8317,1.05783,3.23237,0.00192006,0.00192006,0.00192006
6,944,1.92384,1.33167,2.76839,0.94249,0.94428,0.98107,0.74981,1.37152,0.68206,2.64438,0.001901,0.001901,0.001901
7,1110.61,1.85377,1.24389,2.74267,0.93399,0.91717,0.97534,0.74143,1.45431,0.78236,2.6688,0.0018812,0.0018812,0.0018812
8,1266.38,1.78726,1.18806,2.68287,0.91765,0.94974,0.98116,0.80092,1.24221,0.63948,2.52199,0.0018614,0.0018614,0.0018614
9,1433.61,1.67615,1.09783,2.59645,0.95495,0.96707,0.99016,0.8293,1.14588,0.53347,2.37539,0.0018416,0.0018416,0.0018416
10,1599.09,1.64521,1.0803,2.57803,0.9329,0.95438,0.98663,0.82888,1.14338,0.56884,2.36788,0.0018218,0.0018218,0.0018218
11,1764.11,1.58887,1.02748,2.53549,0.96027,0.93758,0.98711,0.83947,1.11069,0.56861,2.32866,0.001802,0.001802,0.001802
12,1929.02,1.56935,1.01274,2.5422,0.95172,0.96759,0.98984,0.84416,1.10438,0.54822,2.38759,0.0017822,0.0017822,0.0017822
13,2094.01,1.57005,0.98689,2.52818,0.96419,0.97239,0.99195,0.85806,1.03019,0.50508,2.24633,0.0017624,0.0017624,0.0017624
14,2260.37,1.52234,0.95667,2.504,0.96574,0.96158,0.99097,0.8621,1.03199,0.47747,2.24922,0.0017426,0.0017426,0.0017426
15,2421.86,1.55741,0.94912,2.52069,0.96883,0.96158,0.992,0.85987,1.01992,0.46735,2.29453,0.0017228,0.0017228,0.0017228
16,2559.9,1.4777,0.94062,2.45943,0.96721,0.95597,0.98977,0.86847,0.94983,0.46916,2.15362,0.001703,0.001703,0.001703
17,2706.29,1.46006,0.89066,2.44273,0.97358,0.97119,0.99312,0.86515,1.0046,0.46924,2.21249,0.0016832,0.0016832,0.0016832
18,2858.82,1.45917,0.88215,2.46175,0.95704,0.95558,0.98586,0.8632,0.94186,0.50847,2.18204,0.0016634,0.0016634,0.0016634
19,3027.65,1.40201,0.85675,2.4211,0.96258,0.95738,0.98797,0.86445,0.86141,0.48969,2.09285,0.0016436,0.0016436,0.0016436
20,3176.82,1.39875,0.85746,2.41245,0.97938,0.96923,0.99268,0.89421,0.86933,0.42807,2.06683,0.0016238,0.0016238,0.0016238
21,3342.85,1.37702,0.82201,2.38962,0.95859,0.94474,0.98697,0.87982,0.90662,0.47819,2.09011,0.001604,0.001604,0.001604
22,3509.05,1.33205,0.79737,2.38875,0.95601,0.96535,0.99095,0.8826,0.89683,0.44019,2.08448,0.0015842,0.0015842,0.0015842
