epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,356.251,1.56709,1.27684,2.7284,0.87117,0.875,0.92291,0.81151,1.09434,0.81685,2.54494,0.0011684,0.0011684,0.0011684
44,364.427,1.59289,1.19042,2.72602,0.95616,0.875,0.94809,0.8399,1.14285,0.83981,2.74556,0.0011486,0.0011486,0.0011486
45,372.816,1.51385,1.12086,2.67723,0.88111,0.92663,0.947,0.86583,0.97322,0.7394,2.33241,0.0011288,0.0011288,0.0011288
46,381.108,1.56331,1.07125,2.62947,0.90088,0.96875,0.95975,0.84769,1.03363,0.86684,2.39908,0.001109,0.001109,0.001109
47,389.43,1.60186,1.12163,2.75305,0.95815,0.90625,0.95973,0.86155,1.03805,0.7325,2.41696,0.0010892,0.0010892,0.0010892
48,397.786,1.61285,1.24411,2.7631,0.86354,0.8125,0.92109,0.81159,1.02588,0.9633,2.39382,0.0010694,0.0010694,0.0010694
49,405.81,1.53048,1.17654,2.70182,0.96524,0.86805,0.95131,0.84764,1.02293,0.8796,2.38184,0.0010496,0.0010496,0.0010496
50,413.823,1.50485,1.1152,2.67668,0.8595,0.95605,0.96296,0.86812,0.97718,0.80007,2.27614,0.0010298,0.0010298,0.0010298
51,421.774,1.45807,1.09849,2.57233,0.96512,0.96875,0.98774,0.89366,0.94614,0.78775,2.25892,0.00101,0.00101,0.00101
52,429.806,1.50769,0.9964,2.5893,0.96773,0.93721,0.98327,0.90634,0.89221,0.74158,2.22855,0.0009902,0.0009902,0.0009902
53,438.272,1.34562,0.9421,2.45,0.93091,0.9375,0.97683,0.87456,0.98228,0.72239,2.22214,0.0009704,0.0009704,0.0009704
54,447.173,1.4186,1.00744,2.53657,0.96575,0.96875,0.98543,0.8193,1.48317,0.85077,3.17658,0.0009506,0.0009506,0.0009506
55,455.592,1.3466,1.10772,2.51897,0.98785,0.90625,0.97659,0.86829,0.99174,0.68759,2.23917,0.0009308,0.0009308,0.0009308
56,464.175,1.39152,1.01616,2.53138,0.83133,0.90625,0.95597,0.86244,0.9812,0.83711,2.27652,0.000911,0.000911,0.000911
57,473.076,1.32251,0.9294,2.48238,0.96842,0.95847,0.9809,0.9022,0.93682,0.67075,2.25756,0.0008912,0.0008912,0.0008912
58,481.628,1.52756,1.09082,2.74504,0.99581,0.90625,0.97091,0.85684,1.02593,0.66189,2.36548,0.0008714,0.0008714,0.0008714
59,490.324,1.3684,1.00101,2.56288,0.93621,0.96875,0.95747,0.85063,1.05702,0.66719,2.42428,0.0008516,0.0008516,0.0008516
60,498.814,1.43851,1.01007,2.51661,0.96862,0.96477,0.97403,0.90517,0.80949,0.67076,2.20202,0.0008318,0.0008318,0.0008318
61,507.14,1.48265,1.12983,2.69216,0.95547,0.96875,0.97119,0.89277,0.8394,0.70197,2.18525,0.000812,0.000812,0.000812
62,515.663,1.41658,1.05872,2.58618,0.9956,0.90625,0.96841,0.85835,1.04957,0.74111,2.37637,0.0007922,0.0007922,0.0007922
63,524.16,1.44892,1.03646,2.54472,0.97485,0.84375,0.95937,0.89391,0.89122,0.74941,2.21361,0.0007724,0.0007724,0.0007724
64,532.617,1.30417,1.02739,2.4965,0.90514,0.90625,0.94424,0.90101,0.68119,0.83006,2.04532,0.0007526,0.0007526,0.0007526
65,541.114,1.3398,0.97612,2.50976,0.90879,0.93424,0.95698,0.89235,0.84306,0.62366,2.14084,0.0007328,0.0007328,0.0007328
66,549.611,1.21919,0.90897,2.41963,1,0.89015,0.98018,0.91274,0.75573,0.52903,2.07682,0.000713,0.000713,0.000713
67,558.184,1.29505,0.93957,2.49045,0.9569,0.90625,0.96767,0.91545,0.7365,0.56032,2.04103,0.0006932,0.0006932,0.0006932
68,566.754,1.27951,0.90752,2.44638,0.962,0.875,0.94974,0.87462,0.96264,0.70025,2.24398,0.0006734,0.0006734,0.0006734
69,575.179,1.43686,1.05353,2.5437,0.96641,0.89934,0.97527,0.90203,0.79501,0.64477,2.07856,0.0006536,0.0006536,0.0006536
