epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7455,0.60189,0.2672,0.85101,0.99764,0.99917,0.99436,0.88944,0.55257,0.21969,0.83834,0.0011882,0.0011882,0.0011882
43,7624.9,0.59859,0.26693,0.85006,0.99797,0.99935,0.99461,0.89074,0.55328,0.21772,0.83915,0.0011684,0.0011684,0.0011684
44,7800.94,0.60155,0.26634,0.84841,0.99792,0.99926,0.9944,0.8925,0.54089,0.21556,0.83378,0.0011486,0.0011486,0.0011486
45,7981.57,0.5915,0.2616,0.84854,0.99785,0.99944,0.99458,0.89171,0.5502,0.21697,0.83756,0.0011288,0.0011288,0.0011288
46,8168.39,0.59406,0.26417,0.84614,0.99764,0.99944,0.99453,0.89397,0.54187,0.21492,0.83491,0.001109,0.001109,0.001109
47,8353.78,0.59265,0.26222,0.85021,0.9976,0.99937,0.99457,0.89515,0.54177,0.21729,0.8355,0.0010892,0.0010892,0.0010892
48,8540.13,0.5894,0.2621,0.84495,0.99734,0.99972,0.99453,0.89552,0.5414,0.21483,0.83615,0.0010694,0.0010694,0.0010694
49,8720.49,0.58794,0.25993,0.84729,0.99758,0.99944,0.99437,0.89335,0.54457,0.21502,0.83564,0.0010496,0.0010496,0.0010496
50,8905.96,0.58551,0.25931,0.84529,0.99815,0.99931,0.99458,0.89431,0.54121,0.21439,0.83567,0.0010298,0.0010298,0.0010298
51,9092.55,0.59041,0.2598,0.84731,0.99843,0.99909,0.99456,0.89707,0.53466,0.21349,0.8329,0.00101,0.00101,0.00101
52,9285.39,0.58028,0.2572,0.84232,0.99824,0.99936,0.99446,0.89753,0.53027,0.2119,0.83095,0.0009902,0.0009902,0.0009902
53,9464.36,0.57851,0.25603,0.8423,0.9976,0.99955,0.99443,0.89531,0.53554,0.21056,0.83261,0.0009704,0.0009704,0.0009704
54,9637.23,0.57966,0.25444,0.84388,0.99778,0.99926,0.99458,0.89758,0.53049,0.2087,0.83197,0.0009506,0.0009506,0.0009506
55,9810.36,0.57799,0.25458,0.84147,0.99824,0.99935,0.99453,0.89699,0.53677,0.21202,0.83392,0.0009308,0.0009308,0.0009308
56,9984.28,0.5686,0.25077,0.83882,0.99751,0.99963,0.99453,0.89744,0.52817,0.20866,0.83095,0.000911,0.000911,0.000911
